,t,rho00,rho01,rho10,rho11
0,0.0,0j,0j,0j,(1.0000000000000007+0j)
1,0.01,(0.009000000000000001+0j),0j,0j,(0.9910000000000008+0j)
2,0.02,(0.02000000000000001+0j),0j,0j,(0.9800000000000008+0j)
3,0.03,(0.03300000000000002+0j),0j,0j,(0.9670000000000007+0j)
4,0.04,(0.046000000000000034+0j),0j,0j,(0.9540000000000007+0j)
5,0.05,(0.05600000000000004+0j),0j,0j,(0.9440000000000007+0j)
6,0.06,(0.06200000000000005+0j),0j,0j,(0.9380000000000007+0j)
7,0.07,(0.07100000000000005+0j),0j,0j,(0.9290000000000007+0j)
8,0.08,(0.07400000000000005+0j),0j,0j,(0.9260000000000007+0j)
9,0.09,(0.08700000000000006+0j),0j,0j,(0.9130000000000007+0j)
10,0.1,(0.09600000000000007+0j),0j,0j,(0.9040000000000007+0j)
11,0.11,(0.10400000000000008+0j),0j,0j,(0.8960000000000007+0j)
12,0.12,(0.11500000000000009+0j),0j,0j,(0.8850000000000007+0j)
13,0.13,(0.1290000000000001+0j),0j,0j,(0.8710000000000007+0j)
14,0.14,(0.1320000000000001+0j),0j,0j,(0.8680000000000007+0j)
15,0.15,(0.1410000000000001+0j),0j,0j,(0.8590000000000007+0j)
16,0.16,(0.1540000000000001+0j),0j,0j,(0.8460000000000006+0j)
17,0.17,(0.16100000000000012+0j),0j,0j,(0.8390000000000006+0j)
18,0.18,(0.16800000000000012+0j),0j,0j,(0.8320000000000006+0j)
19,0.19,(0.17700000000000013+0j),0j,0j,(0.8230000000000006+0j)
20,0.2,(0.18500000000000014+0j),0j,0j,(0.8150000000000006+0j)
21,0.21,(0.19400000000000014+0j),0j,0j,(0.8060000000000006+0j)
22,0.22,(0.19800000000000015+0j),0j,0j,(0.8020000000000006+0j)
23,0.23,(0.20800000000000016+0j),0j,0j,(0.7920000000000006+0j)
24,0.24,(0.22100000000000017+0j),0j,0j,(0.7790000000000006+0j)
25,0.25,(0.22500000000000017+0j),0j,0j,(0.7750000000000006+0j)
26,0.26,(0.23700000000000018+0j),0j,0j,(0.7630000000000006+0j)
27,0.27,(0.23800000000000018+0j),0j,0j,(0.7620000000000006+0j)
28,0.28,(0.2430000000000002+0j),0j,0j,(0.7570000000000006+0j)
29,0.29,(0.25400000000000017+0j),0j,0j,(0.7460000000000006+0j)
30,0.3,(0.2610000000000002+0j),0j,0j,(0.7390000000000005+0j)
31,0.31,(0.2660000000000002+0j),0j,0j,(0.7340000000000005+0j)
